ts,timestamp,zone,people_now,total_ids_seen_in_zone,tracked_ids,zone_timer_sec,zone_timer_hhmmss,zone_occupied_duration_sec,zone_occupied_duration_hhmmss,current_owner_id,current_session_start_time,current_session_duration_sec,is_valid_machine_usage,multi_person_detected,last_completed_session_duration_sec,completed_sessions_count,avg_completed_session_duration_sec,current_longest_usage_time_sec,estimated_waiting_time_sec
1773687002.433,2026-03-17 02:50:02,equipment_a,1,1,1,10.451,00:00:10,10.451,00:00:10,1,2026-03-17 02:49:55,7.165,1,0,1.254,2,1.643,7.165,1.000
1773687002.433,2026-03-17 02:50:02,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687003.537,2026-03-17 02:50:03,equipment_a,1,1,1,11.554,00:00:11,11.554,00:00:11,1,2026-03-17 02:49:55,8.269,1,0,1.254,2,1.643,8.269,1.000
1773687003.537,2026-03-17 02:50:03,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687004.697,2026-03-17 02:50:04,equipment_a,1,1,1,12.715,00:00:12,12.715,00:00:12,1,2026-03-17 02:49:55,9.430,1,0,1.254,2,1.643,9.430,1.000
1773687004.697,2026-03-17 02:50:04,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687005.708,2026-03-17 02:50:05,equipment_a,1,1,1,13.726,00:00:13,13.726,00:00:13,1,2026-03-17 02:49:55,10.440,1,0,1.254,2,1.643,10.440,1.000
1773687005.708,2026-03-17 02:50:05,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687006.839,2026-03-17 02:50:06,equipment_a,1,1,1,14.856,00:00:14,14.856,00:00:14,1,2026-03-17 02:49:55,11.571,1,0,1.254,2,1.643,11.571,1.000
1773687006.839,2026-03-17 02:50:06,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687007.854,2026-03-17 02:50:07,equipment_a,1,1,1,15.871,00:00:15,15.871,00:00:15,1,2026-03-17 02:49:55,12.586,1,0,1.254,2,1.643,12.586,1.000
1773687007.854,2026-03-17 02:50:07,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687008.871,2026-03-17 02:50:08,equipment_a,1,1,1,16.888,00:00:16,16.888,00:00:16,1,2026-03-17 02:49:55,13.603,1,0,1.254,2,1.643,13.603,1.000
1773687008.871,2026-03-17 02:50:08,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687009.901,2026-03-17 02:50:09,equipment_a,1,1,1,17.918,00:00:17,17.918,00:00:17,1,2026-03-17 02:49:55,14.633,1,0,1.254,2,1.643,14.633,1.000
1773687009.901,2026-03-17 02:50:09,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687011.065,2026-03-17 02:50:11,equipment_a,1,1,1,19.082,00:00:19,19.082,00:00:19,1,2026-03-17 02:49:55,15.797,1,0,1.254,2,1.643,15.797,1.000
1773687011.065,2026-03-17 02:50:11,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
1773687012.075,2026-03-17 02:50:12,equipment_a,1,1,1,20.093,00:00:20,20.093,00:00:20,1,2026-03-17 02:49:55,16.807,1,0,1.254,2,1.643,16.807,1.000
1773687012.075,2026-03-17 02:50:12,equipment_b,0,2,,2.777,00:00:02,2.777,00:00:02,,,0.000,0,0,2.777,1,2.777,0.000,0.000
